Play #,State,Action,Reward,Next State,Terminated
1,"(array([-0.4227424,  0.       ], dtype=float32), {})",1,-1.0,[-0.4234873  -0.00074493],0
1,[-0.4234873  -0.00074493],1,-1.0,[-0.42497185 -0.00148453],0
1,[-0.42497185 -0.00148453],1,-1.0,[-0.42718533 -0.00221349],0
1,[-0.42718533 -0.00221349],1,-1.0,[-0.43011189 -0.00292655],0
1,[-0.43011189 -0.00292655],1,-1.0,[-0.43373042 -0.00361855],0
1,[-0.43373042 -0.00361855],1,-1.0,[-0.43801486 -0.00428442],0
1,[-0.43801486 -0.00428442],1,-1.0,[-0.44293413 -0.00491927],0
1,[-0.44293413 -0.00491927],1,-1.0,[-0.4484525  -0.00551837],0
1,[-0.4484525  -0.00551837],1,-1.0,[-0.4545297  -0.00607721],0
1,[-0.4545297  -0.00607721],1,-1.0,[-0.46112123 -0.00659152],0
1,[-0.46112123 -0.00659152],1,-1.0,[-0.4681786  -0.00705737],0
1,[-0.4681786  -0.00705737],1,-1.0,[-0.4756497  -0.00747111],0
1,[-0.4756497  -0.00747111],1,-1.0,[-0.4834792  -0.00782949],0
1,[-0.4834792  -0.00782949],1,-1.0,[-0.49160886 -0.00812966],0
1,[-0.49160886 -0.00812966],1,-1.0,[-0.49997807 -0.00836921],0
1,[-0.49997807 -0.00836921],1,-1.0,[-0.5085243  -0.00854622],0
1,[-0.5085243  -0.00854622],1,-1.0,[-0.51718354 -0.00865924],0
1,[-0.51718354 -0.00865924],1,-1.0,[-0.5258909  -0.00870735],0
1,[-0.5258909  -0.00870735],1,-1.0,[-0.534581   -0.00869016],0
1,[-0.534581   -0.00869016],1,-1.0,[-0.54318887 -0.00860781],0
1,[-0.54318887 -0.00860781],1,-1.0,[-0.5516498  -0.00846097],0
1,[-0.5516498  -0.00846097],1,-1.0,[-0.55990064 -0.00825083],0
1,[-0.55990064 -0.00825083],1,-1.0,[-0.56787974 -0.00797911],0
1,[-0.56787974 -0.00797911],1,-1.0,[-0.5755277  -0.00764798],0
1,[-0.5755277  -0.00764798],1,-1.0,[-0.5827878  -0.00726008],0
1,[-0.5827878  -0.00726008],1,-1.0,[-0.5896063  -0.00681849],0
1,[-0.5896063  -0.00681849],1,-1.0,[-0.59593296 -0.00632667],0
1,[-0.59593296 -0.00632667],1,-1.0,[-0.6017214  -0.00578841],0
1,[-0.6017214  -0.00578841],1,-1.0,[-0.60692924 -0.00520784],0
1,[-0.60692924 -0.00520784],1,-1.0,[-0.61151856 -0.00458935],0
1,[-0.61151856 -0.00458935],1,-1.0,[-0.6154561  -0.00393757],0
1,[-0.6154561  -0.00393757],1,-1.0,[-0.61871344 -0.00325733],0
1,[-0.61871344 -0.00325733],1,-1.0,[-0.6212671  -0.00255361],0
1,[-0.6212671  -0.00255361],1,-1.0,[-0.6230986  -0.00183153],0
1,[-0.6230986  -0.00183153],1,-1.0,[-0.6241949  -0.00109631],0
1,[-0.6241949  -0.00109631],1,-1.0,[-6.2454814e-01 -3.5324425e-04],0
1,[-6.2454814e-01 -3.5324425e-04],1,-1.0,[-6.2415582e-01  3.9235558e-04],0
1,[-6.2415582e-01  3.9235558e-04],1,-1.0,[-0.62302065  0.00113515],0
1,[-0.62302065  0.00113515],1,-1.0,[-0.62115085  0.0018698 ],0
1,[-0.62115085  0.0018698 ],1,-1.0,[-0.6185598   0.00259104],0
1,[-0.6185598   0.00259104],1,-1.0,[-0.61526614  0.00329366],0
1,[-0.61526614  0.00329366],1,-1.0,[-0.6112936   0.00397253],0
1,[-0.6112936   0.00397253],1,-1.0,[-0.6066709   0.00462268],0
1,[-0.6066709   0.00462268],1,-1.0,[-0.60143167  0.00523929],0
1,[-0.60143167  0.00523929],1,-1.0,[-0.5956139   0.00581775],0
1,[-0.5956139   0.00581775],1,-1.0,[-0.5892602   0.00635367],0
1,[-0.5892602   0.00635367],1,-1.0,[-0.58241725  0.00684295],0
1,[-0.58241725  0.00684295],1,-1.0,[-0.57513547  0.00728181],0
1,[-0.57513547  0.00728181],1,-1.0,[-0.5674687   0.00766679],0
1,[-0.5674687   0.00766679],1,-1.0,[-0.5594738   0.00799487],0
1,[-0.5594738   0.00799487],1,-1.0,[-0.5512104   0.00826341],0
1,[-0.5512104   0.00826341],1,-1.0,[-0.5427401   0.00847026],0
1,[-0.5427401   0.00847026],1,-1.0,[-0.5341264   0.00861374],0
1,[-0.5341264   0.00861374],1,-1.0,[-0.5254337   0.00869269],0
1,[-0.5254337   0.00869269],1,-1.0,[-0.51672727  0.00870645],0
1,[-0.51672727  0.00870645],1,-1.0,[-0.5080723   0.00865492],0
1,[-0.5080723   0.00865492],1,-1.0,[-0.49953383  0.00853851],0
1,[-0.49953383  0.00853851],1,-1.0,[-0.49117565  0.00835818],0
1,[-0.49117565  0.00835818],1,-1.0,[-0.48306027  0.00811539],0
1,[-0.48306027  0.00811539],1,-1.0,[-0.47524816  0.0078121 ],0
1,[-0.47524816  0.0078121 ],1,-1.0,[-0.46779743  0.00745074],0
1,[-0.46779743  0.00745074],1,-1.0,[-0.46076325  0.00703418],0
1,[-0.46076325  0.00703418],1,-1.0,[-0.45419753  0.0065657 ],0
1,[-0.45419753  0.0065657 ],1,-1.0,[-0.44814858  0.00604894],0
1,[-0.44814858  0.00604894],1,-1.0,[-0.4426607   0.00548789],0
1,[-0.4426607   0.00548789],1,-1.0,[-0.4377739  0.0048868],0
1,[-0.4377739  0.0048868],1,-1.0,[-0.4335237  0.0042502],0
1,[-0.4335237  0.0042502],1,-1.0,[-0.42994088  0.00358283],0
1,[-0.42994088  0.00358283],1,-1.0,[-0.42705128  0.0028896 ],0
1,[-0.42705128  0.0028896 ],1,-1.0,[-0.42487568  0.00217558],0
1,[-0.42487568  0.00217558],1,-1.0,[-0.42342976  0.00144593],0
1,[-0.42342976  0.00144593],1,-1.0,[-0.42272383  0.00070592],0
1,[-0.42272383  0.00070592],1,-1.0,[-4.2276299e-01 -3.9146304e-05],0
1,[-4.2276299e-01 -3.9146304e-05],1,-1.0,[-0.4235469  -0.00078393],0
1,[-0.4235469  -0.00078393],1,-1.0,[-0.42507002 -0.00152311],0
1,[-0.42507002 -0.00152311],1,-1.0,[-0.42732137 -0.00225136],0
1,[-0.42732137 -0.00225136],1,-1.0,[-0.43028483 -0.00296344],0
1,[-0.43028483 -0.00296344],1,-1.0,[-0.433939   -0.00365419],0
1,[-0.433939   -0.00365419],1,-1.0,[-0.43825758 -0.00431856],0
1,[-0.43825758 -0.00431856],1,-1.0,[-0.4432092  -0.00495165],0
1,[-0.4432092  -0.00495165],1,-1.0,[-0.44875795 -0.00554874],0
1,[-0.44875795 -0.00554874],1,-1.0,[-0.4548633  -0.00610534],0
1,[-0.4548633  -0.00610534],1,-1.0,[-0.4614805  -0.00661721],0
1,[-0.4614805  -0.00661721],1,-1.0,[-0.4685609  -0.00708041],0
1,[-0.4685609  -0.00708041],1,-1.0,[-0.47605222 -0.00749132],0
1,[-0.47605222 -0.00749132],1,-1.0,[-0.48389894 -0.00784671],0
1,[-0.48389894 -0.00784671],1,-1.0,[-0.49204272 -0.00814376],0
1,[-0.49204272 -0.00814376],1,-1.0,[-0.5004228  -0.00838007],0
1,[-0.5004228  -0.00838007],1,-1.0,[-0.5089765  -0.00855375],0
1,[-0.5089765  -0.00855375],1,-1.0,[-0.51763994 -0.00866339],0
1,[-0.51763994 -0.00866339],1,-1.0,[-0.526348   -0.00870807],0
1,[-0.526348   -0.00870807],1,-1.0,[-0.53503543 -0.00868746],0
1,[-0.53503543 -0.00868746],1,-1.0,[-0.54363716 -0.0086017 ],0
1,[-0.54363716 -0.0086017 ],1,-1.0,[-0.5520886 -0.0084515],0
1,[-0.5520886 -0.0084515],1,-1.0,[-0.56032676 -0.00823809],0
1,[-0.56032676 -0.00823809],1,-1.0,[-0.56828994 -0.00796318],0
1,[-0.56828994 -0.00796318],1,-1.0,[-0.5759189 -0.007629 ],0
1,[-0.5759189 -0.007629 ],1,-1.0,[-0.5831571  -0.00723821],0
1,[-0.5831571  -0.00723821],1,-1.0,[-0.58995104 -0.0067939 ],0
1,[-0.58995104 -0.0067939 ],1,-1.0,[-0.59625053 -0.00629953],0
1,[-0.59625053 -0.00629953],1,-1.0,[-0.60200953 -0.00575895],0
1,[-0.60200953 -0.00575895],1,-1.0,[-0.6071858  -0.00517628],0
1,[-0.6071858  -0.00517628],1,-1.0,[-0.6117417  -0.00455592],0
1,[-0.6117417  -0.00455592],1,-1.0,[-0.6156442  -0.00390253],0
1,[-0.6156442  -0.00390253],1,-1.0,[-0.6188652  -0.00322093],0
1,[-0.6188652  -0.00322093],1,-1.0,[-0.6213813  -0.00251612],0
1,[-0.6213813  -0.00251612],1,-1.0,[-0.6231745  -0.00179322],0
1,[-0.6231745  -0.00179322],1,-1.0,[-0.624232   -0.00105746],0
1,[-0.624232   -0.00105746],1,-1.0,[-6.245461e-01 -3.141259e-04],0
1,[-6.245461e-01 -3.141259e-04],1,-1.0,[-6.2411463e-01  4.3145919e-04],0
1,[-6.2411463e-01  4.3145919e-04],1,-1.0,[-0.62294066  0.00117396],0
1,[-0.62294066  0.00117396],1,-1.0,[-0.62103266  0.00190804],0
1,[-0.62103266  0.00190804],1,-1.0,[-0.6184042   0.00262843],0
1,[-0.6184042   0.00262843],1,-1.0,[-0.6150743   0.00332992],0
1,[-0.6150743   0.00332992],1,-1.0,[-0.6110669   0.00400741],0
1,[-0.6110669   0.00400741],1,-1.0,[-0.606411    0.00465592],0
1,[-0.606411    0.00465592],1,-1.0,[-0.6011403   0.00527064],0
1,[-0.6011403   0.00527064],1,-1.0,[-0.59529334  0.00584697],0
1,[-0.59529334  0.00584697],1,-1.0,[-0.5889128   0.00638055],0
1,[-0.5889128   0.00638055],1,-1.0,[-0.5820455   0.00686727],0
1,[-0.5820455   0.00686727],1,-1.0,[-0.57474214  0.00730338],0
1,[-0.57474214  0.00730338],1,-1.0,[-0.5670567   0.00768545],0
1,[-0.5670567   0.00768545],1,-1.0,[-0.5590462   0.00801046],0
1,[-0.5590462   0.00801046],1,-1.0,[-0.5507704   0.00827582],0
1,[-0.5507704   0.00827582],1,-1.0,[-0.54229105  0.00847938],0
1,[-0.54229105  0.00847938],1,-1.0,[-0.5336715  0.0086195],0
1,[-0.5336715  0.0086195],1,-1.0,[-0.5249765   0.00869503],0
1,[-0.5249765   0.00869503],1,-1.0,[-0.5162711   0.00870537],0
1,[-0.5162711   0.00870537],1,-1.0,[-0.5076207   0.00865041],0
1,[-0.5076207   0.00865041],1,-1.0,[-0.49909008  0.00853062],0
1,[-0.49909008  0.00853062],1,-1.0,[-0.49074313  0.00834697],0
1,[-0.49074313  0.00834697],1,-1.0,[-0.48264217  0.00810096],0
1,[-0.48264217  0.00810096],1,-1.0,[-0.4748476   0.00779455],0
1,[-0.4748476   0.00779455],1,-1.0,[-0.4674174   0.00743022],0
1,[-0.4674174   0.00743022],1,-1.0,[-0.46040654  0.00701085],0
1,[-0.46040654  0.00701085],1,-1.0,[-0.45386678  0.00653975],0
1,[-0.45386678  0.00653975],1,-1.0,[-0.44784623  0.00602056],0
1,[-0.44784623  0.00602056],1,-1.0,[-0.44238892  0.0054573 ],0
1,[-0.44238892  0.0054573 ],1,-1.0,[-0.4375347   0.00485423],0
1,[-0.4375347   0.00485423],1,-1.0,[-0.4333188  0.0042159],0
1,[-0.4333188  0.0042159],1,-1.0,[-0.42977175  0.00354704],0
1,[-0.42977175  0.00354704],1,-1.0,[-0.42691916  0.0028526 ],0
1,[-0.42691916  0.0028526 ],1,-1.0,[-0.42478153  0.00213762],0
1,[-0.42478153  0.00213762],1,-1.0,[-0.42337424  0.0014073 ],0
1,[-0.42337424  0.0014073 ],1,-1.0,[-0.42270735  0.00066689],0
1,[-0.42270735  0.00066689],1,-1.0,[-4.2278564e-01 -7.8291836e-05],0
1,[-4.2278564e-01 -7.8291836e-05],1,-1.0,[-0.42360854 -0.00082292],0
1,[-0.42360854 -0.00082292],1,-1.0,[-0.4251702  -0.00156165],0
